rating,is_recommended,eye_color,skin_type,hair_color,product_id
5,1.0,blue,normal,,P442857
4,1.0,brown,combination,black,P442857
5,1.0,hazel,combination,blonde,P442857
4,1.0,brown,combination,black,P442857
4,1.0,,,,P442857
1,0.0,blue,normal,blonde,P442857
5,1.0,green,oily,blonde,P442857
5,1.0,brown,combination,brown,P442857
5,1.0,blue,normal,brown,P442857
2,0.0,brown,dry,blonde,P442857
1,0.0,green,oily,red,P442857
1,0.0,green,dry,blonde,P442857
3,1.0,blue,combination,blonde,P442857
5,1.0,hazel,combination,brown,P442857
2,0.0,brown,dry,brown,P442857
1,0.0,blue,combination,gray,P442857
4,1.0,hazel,combination,brown,P442857
5,1.0,hazel,dry,auburn,P442857
2,0.0,blue,combination,brown,P442857
5,1.0,brown,dry,black,P442857
1,0.0,brown,normal,brown,P442857
4,1.0,brown,combination,brown,P442857
1,0.0,blue,combination,brown,P442857
2,0.0,brown,combination,black,P442857
2,0.0,brown,oily,brown,P442857
3,1.0,brown,combination,brown,P442857
2,0.0,brown,combination,brown,P442857
5,1.0,hazel,combination,brown,P442857
5,1.0,brown,combination,brown,P442857
1,0.0,brown,combination,brown,P442857
5,1.0,blue,combination,blonde,P442857
4,1.0,brown,combination,black,P442857
4,1.0,blue,dry,brown,P442857
4,1.0,brown,combination,brown,P442857
4,1.0,green,combination,red,P442857
5,1.0,brown,combination,brown,P442857
1,0.0,brown,combination,brown,P442857
4,1.0,green,combination,,P442857
5,1.0,brown,combination,brown,P442857
5,1.0,hazel,normal,blonde,P442857
2,0.0,brown,combination,black,P442857
1,0.0,blue,oily,brown,P442857
5,1.0,brown,oily,brown,P442857
5,1.0,green,normal,brown,P442857
1,0.0,blue,combination,brown,P442857
2,0.0,green,combination,brown,P442857
2,0.0,brown,combination,black,P442857
3,1.0,blue,combination,blonde,P442857
4,1.0,green,dry,brown,P442857
5,1.0,hazel,oily,brown,P442857
5,1.0,brown,combination,black,P442857
2,0.0,brown,combination,black,P442857
3,1.0,hazel,combination,brown,P442857
5,1.0,brown,normal,black,P442857
3,0.0,brown,combination,black,P442857
5,1.0,brown,dry,brown,P442857
5,1.0,green,normal,brown,P442857
3,0.0,green,combination,brown,P442857
2,0.0,brown,dry,black,P442857
3,0.0,blue,dry,blonde,P442857
2,0.0,brown,combination,black,P442857
1,0.0,brown,normal,blonde,P442857
4,1.0,blue,oily,brown,P442857
1,0.0,green,dry,blonde,P442857
5,1.0,brown,combination,black,P442857
4,1.0,blue,combination,blonde,P442857
5,1.0,brown,combination,black,P442857
1,0.0,brown,normal,brown,P442857
5,1.0,green,combination,brown,P442857
1,0.0,hazel,oily,blonde,P442857
3,1.0,brown,oily,brown,P442857
5,1.0,hazel,oily,brown,P442857
3,0.0,blue,combination,brown,P442857
1,0.0,green,combination,blonde,P442857
4,1.0,brown,oily,auburn,P442857
5,1.0,green,dry,blonde,P442857
4,1.0,blue,combination,blonde,P442857
5,1.0,,,,P442857
5,1.0,brown,dry,black,P442857
1,0.0,blue,combination,blonde,P442857
5,1.0,hazel,oily,black,P442857
2,0.0,Grey,oily,brown,P442857
1,0.0,blue,combination,auburn,P442857
1,0.0,blue,oily,blonde,P442857
1,0.0,brown,combination,black,P442857
1,0.0,brown,combination,brown,P442857
2,0.0,green,combination,brown,P442857
5,1.0,green,combination,brown,P442857
3,0.0,brown,combination,black,P442857
4,1.0,brown,oily,brown,P442857
1,0.0,brown,dry,gray,P442857
2,0.0,brown,combination,brown,P442857
2,0.0,blue,combination,blonde,P442857
3,0.0,brown,normal,brown,P442857
5,1.0,brown,combination,brown,P442857
1,0.0,hazel,combination,brown,P442857
4,1.0,brown,dry,brown,P442857
5,1.0,brown,oily,red,P442857
5,1.0,green,oily,blonde,P442857
5,1.0,brown,combination,brown,P442857
1,0.0,brown,dry,black,P442857
4,1.0,brown,normal,brown,P442857
5,1.0,blue,combination,red,P442857
1,0.0,hazel,oily,brown,P442857
1,0.0,brown,combination,brown,P442857
5,1.0,,,,P442857
2,0.0,brown,combination,brown,P442857
5,1.0,hazel,combination,blonde,P442857
4,0.0,blue,dry,blonde,P442857
1,0.0,brown,combination,brown,P442857
4,0.0,brown,combination,brown,P442857
1,0.0,brown,combination,brown,P442857
5,1.0,brown,combination,brown,P442857
3,0.0,blue,normal,brown,P442857
1,0.0,green,combination,brown,P442857
4,1.0,brown,combination,brown,P442857
5,1.0,hazel,combination,brown,P442857
3,1.0,blue,combination,brown,P442857
4,1.0,brown,combination,black,P442857
4,1.0,brown,combination,black,P442857
2,0.0,green,combination,black,P442857
3,0.0,brown,oily,blonde,P442857
1,0.0,hazel,normal,brown,P442857
5,1.0,brown,normal,brown,P442857
1,0.0,brown,dry,black,P442857
